V applied,V meter avg,V applied reverse,V meter avg reverse (mV)
1.149,0.614,0,212.5
2.697,1.088,-0.572,62.2
4.6,1.461,-0.772,31.1
7.67,1.762,-0.931,16.2
10.97,1.959,-1.227,3.5
16.98,2.125,-1.286,2.5
28.26,2.251,-1.332,1.9
60,2.305,-1.376,1.5
,,-1.423,1
,,-1.468,0.7
,,-1.504,0.5
,,-1.537,0.4
,,-1.567,0.2
,,-1.587,0.1
,,-1.617,0
,,-1.64,-0.2
,,-1.698,-0.3
,,-1.766,-0.5
,,-1.94,-0.5
,,-3.252,-0.6
,,-4.31,-0.8
,,-8.48,-0.8
,,-16.33,-0.8
,,-32.36,-0.8
,,-60,-0.9
