V applied,V meter avg,V applied reverse,V meter avg reverse (mV)
0,0.285,-0.325,178.5
0.279,0.384,-0.867,58.4
1.137,0.704,-1.229,17.6
1.572,0.847,-1.514,5.4
2.075,1.018,-1.732,1.9
4.11,1.623,-1.8,1.4
8.06,2.245,-1.858,0.8
15.37,2.738,-1.926,0.4
30.11,2.98,-1.927,0.3
60,3.035,-2.006,0.1
,,-2.077,-0.1
,,-2.122,-0.2
,,-2.202,-0.3
,,-2.28,-0.6
,,-2.406,-0.9
,,-2.83,-0.9
,,-5.06,-1
,,-15.42,-1.1
,,-30.22,-1.1
,,-60,-1.2
