V applied,V meter avg,V applied reverse,V meter avg reverse (mV)
0.498,0.565,-0.001,296.2
0.885,0.773,-0.303,167.1
1.103,0.894,-0.6,65.1
1.457,1.08,-0.908,15.4
1.995,1.363,-1.058,5.8
2.533,1.641,-1.193,1.8
3.068,1.888,-1.32,0.5
3.157,2.075,-1.355,0.1
4.064,2.303,-1.392,-0.1
5.01,2.649,-1.492,-0.6
5.51,2.825,-1.801,-1.2
6.03,2.98,-2.533,-1.4
6.56,3.16,-2.933,-1.4
7.03,3.225,-3.367,-1.4
7.52,3.34,-5.08,-1.4
8.04,3.51,-15.86,-1.6
9.1,3.61,-32.42,-1.6
11.19,3.925,-60,-1.6
15.1,4.224,,
60,4.744,,
